Motiv,Underkategori,2017,2018,2019,2020
Racistisk motiveret,Nationalitet/etnicitet,56,52,92,115
Racistisk motiveret,Race/hudfarve,103,155,144,142
Racistisk motiveret,Øvrige racistisk motiveret,64,53,76,103
Racistisk motiveret,I alt,223,260,312,360
Religiøst motiveret,Islam,67,63,109,87
Religiøst motiveret,Jødedom,38,26,51,79
Religiøst motiveret,Kristendom,30,14,8,25
Religiøst motiveret,Øvrige trossamfund og menigheder,7,9,12,2
Religiøst motiveret,Hinduisme,0,0,0,1
Religiøst motiveret,Buddhisme,0,0,0,0
Religiøst motiveret,I alt,142,112,180,194
Seksuelt orienteret,Homoseksualitet,68,62,64,63
Seksuelt orienteret,Transvestisme/Transkønnethed 1,13,10,7,15
Seksuelt orienteret,Seksualitet i øvrigt,0,2,5,1
Seksuelt orienteret,I alt,81,74,76,79
Ikke muligt at specificere motiv,I alt,0,3,1,2
Alle motivkategorier,I alt,446,449,569,635